Total,esl,nativeAmerican,black,latino,asian,white,female,attendance,povertyRate,temporaryHousing,teachers
432,17,0.5,34.7,60.2,1.6,3,67.6,81.8,61.9,1,28
414,53,0.2,35,57.5,5.8,1.4,32.6,81.9,62.5,6,30
359,47,0,37.6,60.2,1.4,0.8,48.5,86.8,87.4,6,34
841,122,0.2,22.4,76.1,0.6,0.7,50.5,88.6,95.5,18,74
536,7,0.8,13.2,39.4,3.2,43.5,45.7,93.3,66,1,37
387,54,0,25.8,72.4,1.3,0.5,32,82.5,70.8,7,32
418,29,0.2,37.3,57.7,2.6,2.2,42.3,94.3,66.7,2,24
211,27,1,39.3,57.4,1.4,1,47.4,81.4,86,5,12
187,187,0,24.1,66.8,4.8,4.3,43.3,93.2,87.5,2,10
230,40,0.9,21.3,77,0.4,0.4,48.3,91.2,94.3,26,18
280,20,0.7,40.4,56.1,1.8,1.1,52.5,91.4,79.2,4,26
102,5,1,22.6,57.8,3.9,14.7,58.8,91.9,60,1,11
107,10,0,37.4,61.7,0.9,0,50.5,92.3,60,1,7
130,2,0,17.7,53.1,6.9,22.3,52.3,93.8,60,1,9
125,5,0.8,44.8,52.8,1.6,0,48,90.3,60,1,5
4303,384,0.4,22.6,60.6,6,10.4,41.7,82.5,59.6,25,222
757,143,0.1,30.9,65.4,2,1.6,49.7,72.7,61.3,0,78
308,28,0.3,38.3,56.8,2.6,2,52.6,75.1,69.2,3,25
411,43,0.7,30.2,67.4,1,0.7,59.1,83.6,70.5,9,23
407,0,0.2,30.5,67.3,1.5,0.5,56.3,80.9,77,4,28
392,46,0,37.2,59.4,1.8,1.5,50,78.9,77.4,2,33
1712,138,0.5,33.2,64.3,1.5,0.5,67.9,77.1,79.8,12,111
157,13,0.6,37.6,60.5,1.3,0,52.9,84.6,84.1,3,19
294,40,0.3,50.7,48,0,1,39.8,87.2,84.8,5,39
522,84,0.8,42.7,55.4,1.2,0,45.8,89.6,92.1,19,67
709,131,0.7,35.3,62.6,0.4,1,49.2,90.4,89.1,14,55
670,45,0.8,18.1,78.5,2.1,0.6,46.7,93,81.6,10,50
779,177,0.3,21.3,78,0.3,0.1,47.4,92.1,87.9,22,70
685,97,0,35.3,62.6,1.5,0.6,48,93.8,77.5,40,46
528,87,0.6,43.2,55.1,0.8,0.4,44.9,92.2,86,46,50
1332,207,0.2,38.1,61.1,0.3,0.4,49.6,89.9,83.2,70,100
703,76,0.1,44.1,55.2,0.3,0.3,45.5,93.4,93.2,20,61
407,77,1,32.9,62.9,1.7,1.5,48.4,89.7,99,3,40
490,139,0,38.8,60.2,0.4,0.6,47.8,91.2,91.3,13,47
909,206,0.1,17.2,82.1,0.4,0.2,48.1,91,92.4,11,88
1404,221,0.4,25.1,70.4,3.8,0.2,46.7,90.3,85.8,51,108
819,87,0.2,29.6,68.6,0.6,1,48,91.2,83.9,25,63
1197,204,0.4,37.3,56.1,5.9,0.2,52.6,92.4,93.9,20,109
716,159,0.1,23.3,75.4,0.1,1,46.6,91.8,83.5,5,53
440,30,0.4,49.6,48.9,0.2,0.9,50.2,91.8,90.4,7,47
794,135,0.9,21.4,74.3,2.9,0.5,48.4,92.4,91,17,68
921,242,0.5,23.7,74,1.2,0.5,50.4,87.6,77.3,11,83
816,133,0.5,29.9,69.2,0.1,0.2,48.2,90.5,91.9,26,68
280,0,0,41.8,57.5,0.7,0,51.8,93.4,78.4,0,19
590,112,1,43.2,54.6,0.2,1,44.8,89.8,89,19,61
475,44,0.4,39.2,56.8,2.7,0.8,51.6,91.4,87.3,10,39
678,152,0.2,30.1,67.1,2.4,0.3,50.7,91.8,93.3,9,62
936,97,0.2,29.3,68.3,1.9,0.3,43.8,88.3,73.4,14,83
767,175,0.4,35.1,63.2,0.3,1,46.9,90,96.4,22,60
371,36,0,38.5,61.5,0,0,46.9,91.5,89.9,5,31
293,19,0.3,45.7,47.1,6.1,0.7,56.3,95,77,0,22
927,61,0.1,13.9,82,3.1,0.9,53.5,94.7,85.3,1,65
458,56,0.2,45.8,53.3,0.2,0.4,45,87.6,91.5,12,44
405,67,1,32.6,63.7,1.2,1.5,49.6,83.4,88.5,7,30
384,47,0,54.7,43,1,1.3,44.3,87.9,87.1,9,52
506,53,0.2,55.7,40.9,2.2,1,53,87.4,79.3,4,48
401,0,0.2,65.8,32.2,0.5,1.2,0,87,62,1,23
511,58,1,34.2,63,1,0.8,45.4,88.3,83.8,25,42
323,31,0.3,53.6,44.6,0,1.6,0.3,76.7,67.4,2,23
306,35,0.3,31.4,67,1,0.3,51.3,79.2,63.4,1,21
341,28,0.3,34.9,62.2,1.8,0.9,54.8,86.6,71.7,1,21
338,14,0.9,28.7,64.2,5.6,0.6,52.1,90.2,81.2,1,21
336,44,0.6,33.3,65.5,0.3,0.3,67.9,79.2,78.3,0,20
351,45,1.7,29.3,68.7,0,0.3,55.6,91.5,91.4,6,26
428,44,1.4,33.4,64,0.9,0.2,47,85.2,86.6,3,33
501,74,0.4,39.9,58.7,0.8,0.2,50.9,86,84.1,14,45
484,98,0.2,26.6,70.2,2.5,0.4,47.9,90.6,75.4,5,39
217,25,0,30.9,68.2,0.9,0,58.1,93.3,82.8,1,15
259,44,0.8,38.6,58.7,1.2,0.8,49.4,87.9,67.4,7,24
215,40,0.5,34.4,62.3,1.4,1.4,60.5,83.2,72.7,4,13
894,129,0.4,29.9,68.2,1.1,0.3,49.4,86.8,79.6,18,77
110,0,0,0,100,0,0,42.7,94,60,0,8
649,29,0.3,43.4,54.1,1.2,0.9,60.4,84.5,70.1,4,38
471,41,2.3,34.4,60.5,1.7,1.1,48.8,89.8,69.1,3,58
575,76,0.2,11.6,79.6,4,4.5,47.1,93.3,79.3,23,54
1157,225,0.2,13.8,70.7,7.4,8,50.3,91.1,77.6,4,85
